transactionid,saledate,customerid,productid,storeid,campaignid,saleamount($),transactiontimeminutes
67,7/20/2024,1066,2097,402,3,3153.14,15
68,3/5/2025,1025,2037,402,2,1091.56,24
69,9/20/2024,1141,2023,404,0,2612.29,15
70,11/16/2024,1034,2091,401,3,3096.6,29
71,1/31/2025,1020,2035,401,3,4058.33,4
72,9/1/2024,1115,2038,404,0,1493.17,20
73,5/14/2025,1071,2019,402,0,2338.33,13
75,3/16/2025,1050,2069,402,2,189.25,25
76,8/9/2024,1191,2036,404,2,1888.22,14
77,12/3/2024,1020,2055,403,0,1925.73,22
78,4/3/2025,1005,2086,403,1,1320.44,6
79,5/2/2025,1005,2062,401,3,1356.76,17
80,4/11/2025,1177,2084,404,0,663.31,6
81,10/9/2024,1103,2000,404,1,1264.14,16
82,12/2/2024,1013,2097,402,3,2681.2,19
83,6/13/2024,1061,2039,401,0,4286.33,18
84,7/18/2024,1165,2063,403,2,990.87,17
85,11/25/2024,1037,2076,402,2,1716.1,2
86,10/15/2024,1068,2036,403,3,920.77,28
87,11/29/2024,1195,2058,403,1,505.45,20
88,3/11/2025,1032,2048,404,1,122.19,29
89,12/3/2024,1025,2056,401,3,331.1,22
90,4/16/2025,1019,2033,403,3,1710.94,7
91,4/9/2025,1097,2080,404,0,507.8,25
92,1/31/2025,1058,2055,401,0,1403.3,21
93,4/28/2025,1034,2054,404,3,4066.34,22
94,8/10/2024,1005,2030,404,1,1293.91,3
96,9/30/2024,1176,2041,402,3,2216.14,20
98,5/23/2025,1190,2036,402,2,420.76,27
99,9/11/2024,1196,2017,401,0,909.61,11
100,12/21/2024,1023,2041,404,1,4444.07,30
101,10/25/2024,1069,2032,404,2,710.49,29
102,7/19/2024,1036,2028,404,2,819.42,19
103,9/16/2024,1089,2086,403,2,505.95,11
104,6/11/2024,1143,2070,402,3,52.31,27
105,11/7/2024,1034,2046,401,1,61.94,7
106,5/15/2025,1138,2095,402,0,1250.52,25
107,5/10/2025,1176,2056,404,2,1387.08,3
108,12/13/2024,1091,2041,402,3,1454.48,11
109,1/9/2025,1012,2031,402,1,1542.06,10
110,8/24/2024,1071,2029,401,1,85.63,28
111,3/20/2025,1034,2054,402,0,735.8,15
112,2/25/2025,1190,2091,403,0,1496.97,22
114,1/31/2025,1113,2019,403,0,3309.43,3
115,12/23/2024,1097,2067,403,3,1418.47,16
116,4/9/2025,1196,2027,404,1,1663.47,6
117,11/4/2024,1080,2085,403,1,974.82,24
118,7/9/2024,1005,2054,402,2,2348.64,11
119,4/17/2025,1108,2092,401,2,1176.94,22
120,8/27/2024,1057,2044,403,2,1624.08,2
121,4/6/2025,1159,2082,401,2,582.88,13
123,7/9/2024,1096,2043,402,2,1156.81,17
124,7/6/2024,1116,2006,401,3,911.99,17
125,9/20/2024,1029,2009,403,3,53.18,17
126,8/30/2024,1014,2041,402,2,1039.93,5
127,12/2/2024,1033,2090,402,2,1730.44,5
128,6/19/2024,1066,2073,404,3,839.81,21
129,5/20/2025,1032,2046,401,0,92.44,26
130,12/8/2024,1079,2028,403,0,272.35,14
131,12/6/2024,1089,2082,402,1,388.32,12
132,8/3/2024,1019,2091,404,3,4469.22,16
133,1/11/2025,1082,2080,403,0,1281.2,30
134,3/19/2025,1090,2039,404,0,1791.85,2
135,1/11/2025,1023,2064,404,0,1629.14,26
136,1/15/2025,1121,2007,404,2,214.44,29
137,1/12/2025,1032,2067,402,2,1560.21,25
138,1/28/2025,1089,2019,404,1,3122.33,18
139,7/29/2024,1167,2050,402,0,784.52,14
140,3/17/2025,1171,2094,401,3,85.55,19
141,10/4/2024,1087,2062,402,1,626.79,12
142,3/15/2025,1138,2067,401,1,350.79,2
144,5/22/2025,1192,2057,402,2,1579.52,18
145,4/28/2025,1032,2036,404,3,1642.94,15
146,3/21/2025,1020,2091,403,0,2821.59,3
147,7/22/2024,1116,2097,402,0,1499.17,3
148,11/19/2024,1006,2050,403,0,104.97,23
151,5/10/2025,1108,2041,402,0,3375.28,9
152,1/2/2025,1032,2002,402,2,1248.88,30
154,5/28/2025,1099,2005,404,2,746.33,15
155,6/29/2024,1066,2094,403,2,1636.34,27
156,8/12/2024,1118,2061,402,0,1890.03,20
157,6/16/2024,1071,2040,403,3,115.46,29
158,8/18/2024,1199,2054,403,2,2300.1,6
159,11/16/2024,1086,2063,404,2,1467.81,6
160,7/4/2024,1046,2041,401,2,3211.8,10
161,11/12/2024,1089,2093,403,3,1961.05,2
162,5/14/2025,1005,2095,402,1,1372.27,30
163,11/16/2024,1071,2046,403,0,105.07,18
164,5/14/2025,1195,2023,403,2,1010.52,4
165,2/22/2025,1099,2015,403,3,1243.16,29
166,2/4/2025,1051,2019,404,3,4147.31,3
167,5/21/2025,1170,2009,403,1,139.83,8
168,1/9/2025,1130,2035,402,3,2993.1,27
169,10/26/2024,1141,2019,401,3,3961.24,8
170,3/29/2025,1089,2057,404,2,1666.65,6
171,12/14/2024,1196,2055,401,1,365.84,6
172,5/9/2025,1020,2032,402,2,640.51,30
173,12/11/2024,1043,2074,402,2,1149.06,17
174,3/29/2025,1034,2098,403,3,109.06,20
175,4/23/2025,1164,2061,402,3,192.3,19
176,6/26/2024,1123,2043,402,2,1728.52,28
177,5/23/2025,1089,2013,403,0,1615.63,5
178,7/12/2024,1098,2053,402,1,1870.82,22
179,2/15/2025,1116,2065,404,2,225.6,26
181,1/16/2025,1137,2019,404,2,3937.36,8
183,9/22/2024,1174,2016,401,2,762.93,24
184,7/31/2024,1102,2005,401,2,1062.7,11
185,8/2/2024,1035,2070,403,2,81.02,13
186,12/5/2024,1144,2013,403,0,3126.66,20
187,3/19/2025,1176,2076,404,1,1187.87,6
188,8/10/2024,1158,2048,402,1,1899,13
189,7/17/2024,1089,2052,402,3,1484.88,6
190,6/27/2024,1071,2084,404,2,946.34,16
191,12/11/2024,1173,2092,403,1,594.06,24
192,9/29/2024,1076,2090,402,3,730.17,14
193,5/9/2025,1070,2039,404,3,4795.74,19
194,3/22/2025,1073,2010,403,2,467.27,12
195,3/31/2025,1143,2017,401,1,1356.18,14
196,12/10/2024,1013,2054,404,1,0,12
197,12/14/2024,1104,2060,404,2,1309.5,28
198,4/30/2025,1071,2092,401,1,1683.33,24
199,5/9/2025,1005,2023,403,0,3212.52,25
200,5/7/2025,1116,2069,404,1,962.64,2
201,8/19/2024,1116,2082,403,0,1592,28
202,12/19/2024,1044,2081,404,2,1355.05,5
203,8/16/2024,1089,2000,403,3,1910.37,19
205,11/7/2024,1180,2088,401,2,480.66,23
206,5/17/2025,1116,2077,403,3,1613.89,5
207,3/29/2025,1174,2010,404,2,1150.13,19
208,6/27/2024,1129,2097,402,3,1424.31,19
209,12/22/2024,1032,2058,402,3,1139.65,21
210,1/25/2025,1005,2000,402,0,1415.75,11
211,12/13/2024,1066,2060,401,1,1543.36,15
212,5/24/2025,1107,2048,404,3,1381.32,10
213,1/19/2025,1167,2015,402,3,1469.32,2
214,8/31/2024,1034,2059,404,1,725.01,18
215,9/21/2024,1185,2004,404,0,181.22,14
216,12/25/2024,1172,2006,402,3,1102.53,16
217,3/2/2025,1035,2037,402,2,1556.45,28
218,3/28/2025,1116,2066,402,2,1899.61,29
220,10/31/2024,1178,2019,403,3,1514.05,20
221,4/11/2025,1032,2071,404,1,547.24,18
223,6/17/2024,1071,2042,403,0,420.55,11
224,2/25/2025,1193,2031,402,1,1562.25,30
225,10/30/2024,1091,2040,404,3,54.83,3
227,2/15/2025,1050,2046,402,2,125.02,15
228,5/20/2025,1125,2093,403,3,1784.26,28
229,5/29/2025,1134,2019,401,3,3338.16,6
230,6/29/2024,1071,2047,401,3,80.68,26
232,3/22/2025,1027,2067,402,2,571.28,16
233,11/4/2024,1103,2031,402,0,1723.53,24
234,3/5/2025,1005,2060,401,1,1698.39,15
235,1/11/2025,1024,2005,402,3,1852.11,18
236,1/31/2025,1139,2004,402,2,453.96,26
237,7/31/2024,1101,2038,402,3,1104.1,28
240,11/30/2024,1096,2087,404,2,1440.56,16
241,7/5/2024,1116,2040,403,0,72.26,2
242,3/5/2025,1066,2091,404,0,918.79,26
243,12/26/2024,1098,2079,404,1,1263.12,23
244,10/30/2024,1020,2023,401,2,2679.04,5
245,7/3/2024,1063,2063,402,1,1900.21,11
246,10/12/2024,1084,2055,402,1,396.39,9
247,11/4/2024,1188,2062,402,2,816.22,9
248,7/19/2024,1151,2023,401,3,1443.42,8
249,3/19/2025,1017,2052,404,2,1334.39,14
250,2/14/2025,1018,2076,404,3,1591.91,6
251,10/22/2024,1137,2010,401,2,1244.72,2
252,12/18/2024,1165,2096,403,3,242.28,28
253,8/31/2024,1142,2073,402,3,1375.13,30
254,2/1/2025,1034,2037,404,0,1884.32,21
255,7/29/2024,1116,2066,404,0,1408.69,2
256,10/7/2024,1181,2054,401,1,3832.2,27
257,12/6/2024,1084,2059,402,1,1331.75,12
259,2/8/2025,1147,2097,402,1,1680.59,23
260,4/12/2025,1163,2046,404,2,74.1,12
261,8/10/2024,1076,2075,401,2,645.49,7
262,8/16/2024,1130,2076,402,3,1289.23,19
263,2/3/2025,1044,2062,403,2,1257.85,19
264,4/14/2025,1124,2079,404,3,4279.51,5
266,3/13/2025,1197,2070,401,2,125.26,18
267,10/25/2024,1010,2056,402,0,1324.66,3
268,9/10/2024,1008,2044,401,0,512.04,27
269,3/24/2025,1089,2078,404,1,1636.38,19
270,3/22/2025,1136,2097,402,2,1703.04,7
271,4/11/2025,1173,2017,404,2,297.43,22
272,4/14/2025,1089,2097,404,2,2188.28,11
273,7/3/2024,1196,2097,403,2,2696.2,19
274,12/21/2024,1187,2091,403,3,2433.39,27
275,8/27/2024,1072,2070,402,3,135.18,12
276,3/6/2025,1032,2023,404,3,3598.66,3
277,7/26/2024,1040,2035,401,2,3490.29,12
278,1/13/2025,1020,2096,402,0,52.12,29
280,4/12/2025,1122,2079,401,0,2154.03,22
282,8/8/2024,1054,2019,404,3,890.1,10
283,7/13/2024,1150,2044,404,1,1307.01,12
284,9/10/2024,1184,2099,401,2,1233.51,7
285,8/17/2024,1165,2035,404,1,3172.68,2
286,12/9/2024,1092,2016,404,3,1381.74,13
288,5/14/2025,1073,2064,404,3,1096.3,13
289,12/30/2024,1079,2035,402,3,3934.51,4
291,11/20/2024,1079,2084,402,1,369.47,6
292,5/16/2025,1184,2054,402,2,1031.26,3
293,4/26/2025,1109,2019,403,0,2798.52,8
294,6/24/2024,1042,2032,401,0,1042.21,9
295,6/20/2024,1062,2054,404,1,4358.68,13
296,12/15/2024,1189,2028,403,2,201.88,27
297,10/26/2024,1013,2097,401,0,4397.15,12
298,3/10/2025,1022,2001,403,2,523.04,30
299,10/25/2024,1197,2093,402,3,1106.01,18
300,1/8/2025,1002,2000,404,2,1083.14,22
301,9/6/2024,1015,2018,403,1,1063.53,14
302,2/7/2025,1191,2019,402,3,3055.19,3
303,11/15/2024,1060,2054,404,2,1723.8,8
304,7/2/2024,1066,2023,404,3,2112.29,21
305,3/8/2025,1118,2019,401,2,3635.95,23
306,6/18/2024,1083,2035,403,0,1670.75,5
307,5/29/2025,1005,2071,402,0,322.6,13
308,6/6/2024,1056,2079,403,0,1664.69,7
309,3/25/2025,1066,2091,402,2,4740.26,21
311,8/28/2024,1020,2019,401,1,2745.01,27
312,4/20/2025,1022,2023,404,1,4109.76,14
313,3/18/2025,1182,2069,404,2,400.64,30
314,10/7/2024,1020,2091,403,1,950.6,21
315,1/17/2025,1188,2035,404,1,3166.34,7
316,3/22/2025,1151,2054,402,1,4146.81,15
317,5/22/2025,1044,2011,401,1,982.08,27
319,7/29/2024,1089,2047,404,2,316.08,13
320,8/5/2024,1163,2083,403,2,1198.45,26
321,8/12/2024,1176,2023,401,3,3968.74,13
322,12/19/2024,1089,2078,402,0,324.25,28
323,2/27/2025,1089,2019,403,2,3619.29,7
324,10/19/2024,1184,2079,404,1,2718.87,29
325,10/29/2024,1025,2073,402,0,115.15,12
326,6/8/2024,1026,2023,404,0,4541.56,19
327,7/10/2024,1157,2090,401,1,896.69,22
328,6/23/2024,1048,2070,403,2,16.95,8
329,12/20/2024,1039,2013,404,3,615.81,8
330,8/10/2024,1020,2014,403,3,1339.03,3
331,7/9/2024,1047,2048,403,0,956.86,18
332,9/1/2024,1015,2019,401,3,3153.77,12
333,12/15/2024,1133,2068,404,1,203.96,5
334,4/27/2025,1128,2066,402,3,1969.52,20
335,5/23/2025,1032,2019,404,1,1660.49,12
336,5/1/2025,1017,2097,404,2,4627.23,27
337,6/6/2024,1150,2053,401,1,1186.22,3
338,5/20/2025,1066,2012,403,2,565.07,29
339,1/17/2025,1121,2041,404,3,4503.08,12
340,10/12/2024,1032,2047,401,2,1693.55,21
341,4/11/2025,1058,2091,403,3,901.79,15
342,11/16/2024,1104,2097,403,1,3693.06,11
343,11/6/2024,1134,2003,402,1,536.51,23
344,11/21/2024,1180,2054,404,0,1588.72,24
345,11/30/2024,1121,2044,403,2,1393.26,9
346,9/24/2024,1041,2099,402,1,574.71,29
347,11/8/2024,1034,2016,402,0,1236.27,29
348,5/12/2025,1181,2054,404,3,2600.14,10
349,1/27/2025,1101,2000,403,2,260.8,12
350,6/28/2024,1163,2040,403,2,82.42,25
351,9/7/2024,1005,2087,402,3,555.88,2
352,11/9/2024,1009,2073,402,1,1294.71,17
353,11/26/2024,1091,2021,402,3,554.37,19
354,3/23/2025,1046,2042,401,1,648.82,13
355,3/15/2025,1066,2059,401,0,429.36,25
356,7/20/2024,1135,2013,402,1,4942.36,6
357,4/24/2025,1036,2029,401,1,18.12,4
358,11/20/2024,1116,2020,404,0,895.74,25
359,11/13/2024,1122,2004,402,0,1525.85,21
360,12/10/2024,1034,2031,402,2,250.28,10
361,12/4/2024,1016,2038,403,2,1389.22,29
362,7/26/2024,1125,2024,402,3,487.43,15
363,5/27/2025,1034,2021,401,0,1298.63,7
364,3/8/2025,1152,2084,401,0,275.79,20
365,11/17/2024,1020,2019,402,0,3477.49,18
366,1/20/2025,1155,2053,401,0,1580.28,26
367,12/2/2024,1199,2097,402,3,677.33,27
368,12/2/2024,1032,2009,401,0,103.66,26
369,8/2/2024,1066,2012,403,3,627.24,28
370,11/23/2024,1116,2037,403,2,276.01,19
371,4/9/2025,1002,2084,402,3,573.2,3
372,2/21/2025,1087,2079,404,2,3604.56,18
373,11/27/2024,1042,2013,402,3,3552.77,16
374,8/15/2024,1091,2087,402,3,852,27
375,6/20/2024,1080,2097,402,2,3597.09,10
376,12/31/2024,1186,2054,404,0,4704.67,6
377,12/4/2024,1126,2009,404,2,17.05,26
378,8/31/2024,1103,2010,404,3,1021.99,12
379,10/5/2024,1190,2013,404,0,4063.02,9
380,5/19/2025,1130,2083,404,2,1642.35,28
381,4/5/2025,1196,2060,403,0,1334.87,17
382,6/1/2024,1162,2037,403,0,1010.22,6
383,3/28/2025,1104,2039,402,3,4210.49,30
384,8/18/2024,1193,2081,401,3,1199.17,16
385,12/4/2024,1001,2006,404,3,1573.11,2
386,5/1/2025,1044,2016,401,2,800.09,12
387,5/24/2025,1195,2079,403,3,1121.81,10
388,12/27/2024,1131,2097,403,1,3308.75,14
389,9/27/2024,1172,2023,403,2,3122.63,21
390,5/12/2025,1172,2068,403,3,1069.32,15
391,6/11/2024,1034,2023,403,1,3607.68,14
392,9/28/2024,1008,2057,401,1,1144.48,16
393,9/6/2024,1178,2013,404,2,742.11,18
394,2/26/2025,1032,2081,403,1,1930.37,17
395,9/28/2024,1066,2023,401,3,1689.08,15
396,8/6/2024,1001,2029,401,2,118.31,18
398,5/17/2025,1129,2097,404,1,3485.01,22
399,10/12/2024,1192,2060,401,2,1813.77,13
400,12/29/2024,1010,2041,404,0,2931.07,6
401,9/23/2024,1197,2065,404,2,425.4,21
402,12/6/2024,1042,2098,401,1,1558.49,20
403,4/13/2025,1026,2079,401,1,3725.91,20
404,6/16/2024,1116,2071,401,1,844.88,5
405,11/19/2024,1080,2019,401,0,3135.24,17
406,2/7/2025,1066,2041,401,3,4199.55,24
407,6/14/2024,1071,2079,403,1,4491.4,18
408,5/20/2025,1165,2001,402,0,818.46,20
409,12/14/2024,1071,2092,403,1,480.54,28
410,4/3/2025,1116,2072,401,3,192.63,19
411,1/24/2025,1050,2062,403,1,1258.06,19
412,4/26/2025,1115,2040,402,2,144.21,22
413,8/9/2024,1056,2082,404,2,1479.3,6
414,4/18/2025,1091,2062,401,0,1724.49,19
415,7/28/2024,1067,2080,401,0,1281.67,6
416,3/25/2025,1196,2004,403,3,339.83,24
417,11/2/2024,1150,2037,402,0,1029.23,14
418,1/20/2025,1157,2096,402,1,1153.33,5
419,4/17/2025,1032,2005,402,1,770.4,19
421,5/21/2025,1070,2033,402,3,1324.01,2
422,4/3/2025,1096,2028,404,2,990.11,15
423,12/27/2024,1035,2029,401,2,36.17,21
424,10/24/2024,1030,2053,403,3,984.09,17
425,12/24/2024,1105,2013,402,1,2806.89,19
426,4/23/2025,1116,2023,404,0,3775.88,19
427,3/28/2025,1055,2060,404,3,1599.5,27
428,3/28/2025,1020,2054,404,0,2234.58,3
429,7/16/2024,1005,2077,401,0,1086.29,2
430,3/1/2025,1116,2069,401,3,772.24,19
431,6/19/2024,1058,2061,404,0,546.31,7
432,3/7/2025,1021,2097,404,0,4052.4,8
433,12/21/2024,1034,2026,403,0,1320.57,25
434,9/13/2024,1108,2078,403,3,855.79,14
435,3/14/2025,1094,2061,403,2,826.35,6
436,7/27/2024,1030,2057,402,3,1611.66,3
437,12/29/2024,1013,2013,401,3,2459.2,20
438,6/28/2024,1066,2092,404,3,1065.96,26
439,2/12/2025,1198,2081,404,1,1864.98,26
440,12/7/2024,1071,2086,401,0,219.34,23
441,9/21/2024,1171,2075,402,0,1121.71,6
442,2/18/2025,1149,2040,402,1,66.55,10
443,6/2/2024,1066,2064,403,0,1915.58,15
444,4/18/2025,1147,2091,404,1,4825.57,19
445,11/22/2024,1150,2061,401,3,1988.69,23
446,1/26/2025,1089,2045,401,2,231.37,13
447,1/25/2025,1019,2022,404,1,574.7,18
448,5/14/2025,1048,2025,402,2,445.39,18
449,9/11/2024,1039,2015,401,3,1540.28,9
450,12/13/2024,1032,2040,404,2,147.82,7
451,5/2/2025,1056,2016,401,3,1104.5,14
452,12/3/2024,1175,2058,401,3,66.42,4
453,1/25/2025,1025,2070,403,2,75.99,3
454,12/29/2024,1127,2053,403,3,400.78,19
455,7/25/2024,1058,2092,403,3,432.32,26
456,3/20/2025,1121,2022,404,2,635.07,18
457,12/18/2024,1101,2023,401,2,3334.38,25
458,11/19/2024,1092,2071,403,3,1741.37,25
459,5/19/2025,1116,2036,403,3,921.51,21
460,7/4/2024,1118,2018,402,2,1244,13
461,11/6/2024,1020,2035,403,2,3224.23,19
462,11/3/2024,1199,2046,404,1,27.51,9
463,9/5/2024,1190,2010,402,0,1876.75,30
464,11/25/2024,1005,2010,401,1,1866.6,17
465,11/2/2024,1020,2016,402,1,1343.92,25
466,4/12/2025,1121,2069,403,1,1410.36,2
467,8/13/2024,1161,2072,404,2,989.22,23
468,9/2/2024,1020,2033,402,0,1528.67,15
469,7/27/2024,1136,2091,404,3,3186.52,2
470,3/19/2025,1048,2071,404,1,1309.68,30
471,3/31/2025,1066,2030,403,2,1714.29,12
472,8/15/2024,1163,2057,403,3,87.82,8
473,6/22/2024,1047,2036,403,3,503.98,6
474,8/2/2024,1087,2063,403,0,1694.92,19
475,5/15/2025,1005,2091,402,2,4227.13,2
476,7/21/2024,1063,2056,402,0,1483.88,10
477,7/10/2024,1053,2087,403,1,132.26,4
478,5/10/2025,1064,2038,402,0,474.69,17
479,7/18/2024,1083,2041,401,1,688.97,29
480,3/14/2025,1152,2019,402,0,2022.9,26
481,5/22/2025,1015,2023,401,1,3012.58,4
482,1/11/2025,1112,2002,404,1,127,4
483,2/9/2025,1138,2024,402,2,586.88,5
484,4/1/2025,1141,2097,402,2,2543.36,19
485,3/11/2025,1187,2013,403,1,785.04,28
486,5/21/2025,1048,2063,402,2,677.95,28
487,7/11/2024,1011,2016,402,1,423.65,17
489,6/6/2024,1167,2010,404,0,1499.78,9
490,4/23/2025,1181,2039,403,0,850.71,15
491,8/29/2024,1025,2068,404,1,1897.63,13
492,12/17/2024,1191,2039,403,3,1250.64,27
493,8/14/2024,1086,2068,404,2,1993.86,20
494,4/6/2025,1162,2092,403,1,1122.97,24
495,2/27/2025,1115,2050,401,2,1059.34,19
497,9/21/2024,1142,2073,402,3,319.9,13
498,10/25/2024,1059,2041,401,1,3756.11,10
499,3/17/2025,1066,2038,401,3,159.05,15
500,3/8/2025,1111,2015,402,0,1282.78,3
501,6/23/2024,1081,2019,403,1,3531.36,25
502,5/31/2025,1192,2064,401,2,338.62,2
503,10/13/2024,1190,2079,403,3,1086.69,24
504,7/27/2024,1124,2073,402,1,569.2,27
505,11/14/2024,1147,2079,404,1,3172.45,14
506,6/11/2024,1089,2056,402,1,778.95,19
507,3/4/2025,1028,2031,402,2,1402.9,29
508,7/17/2024,1005,2070,402,2,97.23,23
509,5/30/2025,1171,2039,401,0,4051.35,6
510,12/31/2024,1034,2041,403,0,4475.31,23
511,11/1/2024,1130,2012,403,0,1026.27,22
512,11/22/2024,1005,2097,403,3,582.68,21
513,1/31/2025,1077,2097,403,2,4506.81,27
514,3/26/2025,1020,2054,404,0,2843.23,5
515,1/27/2025,1175,2035,402,2,1981.78,20
516,12/13/2024,1116,2087,402,2,1802.35,18
517,4/30/2025,1197,2039,402,0,4277.85,20
518,7/31/2024,1089,2052,404,2,416.47,19
519,7/26/2024,1020,2078,402,1,750.56,3
520,2/1/2025,1128,2060,403,3,318.15,9
521,8/19/2024,1034,2052,402,1,178.97,30
522,5/6/2025,1157,2041,404,3,688.22,2
523,2/22/2025,1080,2095,401,3,1761.65,7
524,4/18/2025,1005,2005,404,0,907.13,24
525,4/20/2025,1073,2054,403,0,4566.54,27
526,11/23/2024,1023,2014,402,1,680.75,21
527,6/11/2024,1182,2058,401,1,290.91,17
528,7/19/2024,1092,2079,402,3,1268.98,30
529,10/13/2024,1038,2023,402,0,1892.83,24
531,12/2/2024,1001,2063,402,3,911.66,12
533,6/16/2024,1170,2077,403,0,863.07,23
534,8/13/2024,1156,2089,402,2,231.6,9
535,9/30/2024,1097,2097,404,0,1105.46,20
536,2/4/2025,1134,2026,402,0,1959.73,16
537,12/10/2024,1020,2040,403,2,96,16
538,12/2/2024,1127,2023,402,1,?,30
539,6/11/2024,1030,2026,404,2,1621.78,17
540,8/27/2024,1176,2019,403,2,1012.27,19
541,10/12/2024,1145,2003,402,2,984.26,24
542,11/26/2024,1116,2080,404,2,1637.62,7
543,5/7/2025,1020,2086,403,0,1386.71,18
544,3/20/2025,1090,2023,403,2,3319.3,25
545,4/5/2025,1099,2019,403,2,1721.74,23
546,7/7/2024,1095,2038,402,1,1580.64,20
547,3/12/2025,1113,2061,402,3,1071.07,22
548,3/11/2025,1066,2066,402,0,1441.67,17
549,12/7/2024,1034,2076,401,0,1544.05,25
550,2/27/2025,1020,2026,403,2,672.34,26
551,11/16/2024,1116,2019,401,0,2076.43,5
552,10/7/2024,1020,2021,401,2,148.92,13
553,6/13/2024,1012,2013,401,1,4510.74,8
554,1/4/2025,1114,2039,403,0,3900.84,13
555,11/23/2024,1032,2041,404,1,4530.65,11
556,9/14/2024,1046,2085,403,2,109.02,2
557,11/26/2024,1118,2036,403,1,841.09,4
558,2/13/2025,1066,2068,404,3,525.2,2
559,8/5/2024,1016,2070,404,3,57.91,23
560,2/4/2025,1066,2091,404,3,939.44,7
561,11/17/2024,1103,2019,404,0,4176.65,2
562,4/22/2025,1162,2096,402,3,810.47,19
563,12/21/2024,1089,2041,404,2,3122.27,26
564,12/28/2024,1032,2007,403,0,?,28
565,12/17/2024,1028,2003,402,3,1437.96,6
566,11/7/2024,1054,2060,402,3,752.56,22
567,11/9/2024,1171,2013,401,1,2690.16,5
568,11/15/2024,1021,2079,404,3,2544.77,24
569,11/12/2024,1098,2023,404,3,1565.37,15
570,12/3/2024,1139,2004,401,2,988.99,15
571,2/1/2025,1020,2010,401,0,1101.43,30
572,12/21/2024,1087,2001,404,3,696.45,2
573,10/19/2024,1075,2013,403,2,2629.22,21
574,8/9/2024,1020,2079,401,0,845.88,24
575,3/14/2025,1157,2041,401,1,3825.35,18
576,1/18/2025,1044,2035,404,0,879.81,26
577,7/31/2024,1039,2096,404,1,1465.7,14
579,11/26/2024,1136,2079,404,3,4672.5,30
580,11/19/2024,1135,2005,401,2,891.98,14
581,5/3/2025,1085,2019,403,3,3538.81,8
